School Name,Region,State,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
University of Texas at El Paso (UTEP),Southern,TX,43400,72100,37700,50400,99500,133000
University of Central Florida (UCF),Southern,FL,42600,71700,39500,51500,98400,125000
University of South Carolina,Southern,SC,40000,71700,36300,49900,98400,131000
Florida Atlantic University (FAU),Southern,FL,42600,71100,40700,53000,99500,137000
University of South Florida (USF),Southern,FL,41100,71100,39600,51500,98100,131000
University of Texas at San Antonio (UTSA),Southern,TX,42500,70700,39100,49800,92700,121000
University of Alabama at Birmingham (UAB),Southern,AL,39200,70100,43000,53400,91400,125000
University of Memphis (U of M),Southern,TN,41400,69700,36100,49100,93500,127000
Appalachian State University,Southern,NC,40400,69100,37200,50400,90800,115000
Virginia Commonwealth University (VCU),Southern,VA,42000,68400,37400,51900,100000,123000
East Carolina University (ECU),Southern,NC,40200,67500,38400,52000,98700,151000
Western Carolina University,Southern,NC,36900,66600,39000,49500,94400,133000
Jacksonville University,Southern,FL,46700,66200,36700,47200,88500,121000
University of North Carolina at Wilmington (UNCW),Southern,NC,37500,64400,32100,46600,97100,129000
Oklahoma City University,Southern,OK,40000,64300,N/A,45400,80600,N/A
Arkansas State University (ASU),Southern,AR,38700,63300,33600,45300,83900,118000
Tarleton State University (TSU),Southern,TX,40800,62400,32100,47400,80400,126000
Morehead State University,Southern,KY,34800,60600,34300,46500,72000,91300
Mississippi College,Southern,MS,35400,60400,N/A,43900,80400,N/A
Dallas Baptist University,Southern,TX,39400,60200,38500,50300,81800,98100
Austin Peay State University,Southern,TN,37700,59200,32200,40500,73900,96200
Saint Leo University,Southern,FL,40900,57800,34400,41800,80600,113000
Tusculum College,Southern,TN,36900,55500,36200,43000,87300,124000
Virginia Wesleyan College (VWC),Southern,VA,34600,54900,N/A,37100,88900,N/A
"Lee University (Cleveland, TN)",Southern,TN,34500,53900,N/A,44500,76800,N/A
Florida Metropolitan University (FMU),Southern,FL,36600,51000,32800,36800,70400,102000
Dartmouth College,Northeastern,NH,58000,134000,63100,90200,234000,321000
Princeton University,Northeastern,NJ,66500,131000,68900,100000,190000,261000
Massachusetts Institute of Technology (MIT),Northeastern,MA,72200,126000,76800,99200,168000,220000
Yale University,Northeastern,CT,59100,126000,58000,80600,198000,326000
Harvard University,Northeastern,MA,63400,124000,54800,86200,179000,288000
University of Pennsylvania,Northeastern,PA,60900,120000,55900,79200,192000,282000
"Polytechnic University of New York, Brooklyn",Northeastern,NY,62400,114000,66800,94300,143000,190000
Cooper Union,Northeastern,NY,62200,114000,N/A,80200,142000,N/A
Worcester Polytechnic Institute (WPI),Northeastern,MA,61000,114000,80000,91200,137000,180000
Carnegie Mellon University (CMU),Northeastern,PA,61800,111000,63300,80100,150000,209000
Rensselaer Polytechnic Institute (RPI),Northeastern,NY,61100,110000,71600,85500,140000,182000
Cornell University,Northeastern,NY,60300,110000,56800,79800,160000,210000
Bucknell University,Northeastern,PA,54100,110000,62800,80600,156000,251000
Brown University,Northeastern,RI,56200,109000,55400,74400,159000,228000
Colgate University,Northeastern,NY,52800,108000,60000,76700,167000,265000
Columbia University,Northeastern,NY,59400,107000,50300,71900,161000,241000
Amherst College,Northeastern,MA,54500,107000,N/A,84900,162000,N/A
Lafayette College,Northeastern,PA,53900,107000,70600,79300,144000,204000
Bowdoin College,Northeastern,ME,48100,107000,N/A,74600,146000,N/A
College of the Holy Cross,Northeastern,MA,50200,106000,N/A,65600,143000,N/A
Stevens Institute of Technology,Northeastern,NJ,60600,105000,68700,81900,138000,185000
Lehigh University,Northeastern,PA,59200,105000,69500,85000,160000,229000
Swarthmore College,Northeastern,PA,49700,104000,N/A,67200,167000,N/A
Boston College,Northeastern,MA,52700,103000,48900,70000,143000,195000
Williams College,Northeastern,MA,51700,102000,N/A,76400,143000,N/A
Villanova University,Northeastern,PA,55800,101000,56800,76200,156000,226000
Fordham University,Northeastern,NY,47800,99900,48600,65900,142000,198000
"Wesleyan University (Middletown, Connecticut)",Northeastern,CT,46500,97900,42000,62500,126000,215000
Wentworth Institute of Technology,Northeastern,MA,53000,96700,55200,74000,117000,153000
Bates College,Northeastern,ME,47300,96500,N/A,60700,162000,N/A
Binghamton University,Northeastern,NY,53600,95900,50900,71200,146000,201000
Union College,Northeastern,NY,47200,95800,48700,75200,135000,230000
New York University (NYU),Northeastern,NY,50300,95600,47500,65000,142000,216000
Vassar College,Northeastern,NY,46000,94600,N/A,60600,123000,N/A
Middlebury College,Northeastern,VT,47700,94200,N/A,69100,129000,N/A
Mount Holyoke College,Northeastern,MA,42400,94200,N/A,57100,131000,N/A
Boston University,Northeastern,MA,49000,93900,48000,64900,130000,193000
Drexel University,Northeastern,PA,53400,93500,54900,72500,122000,161000
"St. John's University, New York",Northeastern,NY,48000,93400,48000,65400,124000,181000
Long Island University,Northeastern,NY,47300,93200,46300,62100,122000,169000
Stony Brook University,Northeastern,NY,49500,93000,47200,67100,129000,181000
Franklin and Marshall College,Northeastern,PA,49100,92800,N/A,55800,185000,N/A
Hofstra University,Northeastern,NY,46800,92700,48900,67000,135000,189000
State University of New York (SUNY) at Albany,Northeastern,NY,44500,92200,47000,63100,135000,209000
Rutgers University,Northeastern,NJ,50300,91800,48100,65100,128000,176000
Pratt Institute,Northeastern,NY,43800,89900,48600,65400,123000,155000
Pace University,Northeastern,NY,53200,89700,44200,65400,129000,187000
Seton Hall University,Northeastern,NJ,48900,89200,55700,70600,133000,195000
Rider University,Northeastern,NJ,43600,88900,47100,63100,127000,150000
University of Connecticut (UConn),Northeastern,CT,48000,88800,46100,66400,120000,162000
Providence College,Northeastern,RI,48000,88600,42800,62900,138000,194000
University of Massachusetts (UMass) - Amherst,Northeastern,MA,46600,88200,43100,61300,122000,168000
Ithaca College,Northeastern,NY,42700,87400,50200,62400,128000,174000
University of Massachusetts (UMass) - Lowell,Northeastern,MA,45400,86600,50900,65000,113000,158000
Northeastern University,Northeastern,MA,50500,86400,47100,62700,117000,159000
Syracuse University,Northeastern,NY,45700,85900,46400,59400,119000,178000
Colby College,Northeastern,ME,46400,85800,N/A,63500,129000,N/A
Gettysburg College,Northeastern,PA,44700,85800,N/A,66300,132000,N/A
Pennsylvania State University (PSU),Northeastern,PA,49900,85700,46300,62000,117000,160000
University of Rhode Island (URI),Northeastern,RI,43900,85300,45400,60100,112000,157000
Siena College,Northeastern,NY,45500,85200,38700,58400,129000,189000
La Salle University (Philadelphia),Northeastern,PA,43400,84700,45300,57500,106000,151000
Rochester Institute of Technology (RIT),Northeastern,NY,48900,84600,45000,62100,112000,159000
Duquesne University,Northeastern,PA,40700,84400,42600,59500,107000,131000
State University of New York (SUNY) at Farmingdale,Northeastern,NY,47300,84200,50200,59800,110000,162000
Smith College,Northeastern,MA,44000,83900,45100,59800,129000,184000
Hamilton College,Northeastern,NY,49200,83700,N/A,51900,123000,N/A
Wellesley College,Northeastern,MA,42800,83500,N/A,58600,125000,N/A
Widener University,Northeastern,PA,52900,83400,42600,61400,106000,138000
University of New Haven,Northeastern,CT,44400,82900,48500,66100,113000,157000
Dowling College,Northeastern,NY,41100,82800,46500,60600,117000,142000
University of Vermont (UVM),Northeastern,VT,44800,82700,44700,58000,122000,194000
State University of New York (SUNY) at Buffalo,Northeastern,NY,46200,81700,45900,61400,110000,147000
State University of New York (SUNY) at Geneseo,Northeastern,NY,42300,81300,39300,47600,117000,173000
Fashion Institute of Technology,Northeastern,NY,42800,81000,38800,60500,106000,138000
Philadelphia University,Northeastern,PA,45100,80300,45800,61900,108000,141000
Ursinus College,Northeastern,PA,42100,80000,35600,54300,100000,160000
Adelphi University,Northeastern,NY,40600,79200,44200,54800,114000,160000
Juniata College,Northeastern,PA,41800,78900,N/A,67200,110000,N/A
Fairleigh Dickinson University,Northeastern,NJ,45700,78700,40200,56300,112000,171000
University of New Hampshire (UNH),Northeastern,NH,41800,78300,41700,56400,114000,147000
University of Massachusetts (UMass) - Boston,Northeastern,MA,45600,78200,36300,53800,109000,151000
State University of New York (SUNY) at Oswego,Northeastern,NY,38000,77800,40400,53000,115000,169000
University of Massachusetts (UMass) - Dartmouth,Northeastern,MA,43200,77700,43300,56200,107000,132000
State University of New York (SUNY) at Oneonta,Northeastern,NY,37500,76700,40000,54300,97700,155000
Quinnipiac University,Northeastern,CT,43000,76500,47900,57400,117000,155000
State University of New York (SUNY) at Plattsburgh,Northeastern,NY,40800,76200,38400,54100,105000,136000
Sacred Heart University,Northeastern,CT,46000,75300,39700,54800,105000,150000
Skidmore College,Northeastern,NY,41600,74600,N/A,42800,147000,N/A
Moravian College,Northeastern,PA,42500,74400,N/A,56700,94900,N/A
Penn State - Harrisburg,Northeastern,PA,45700,74000,44000,53100,104000,150000
Suffolk University,Northeastern,MA,42100,74000,48700,57800,95100,145000
Fitchburg State College,Northeastern,MA,42400,72600,43300,56100,99600,151000
Roger Williams University,Northeastern,RI,42000,72300,39800,48500,102000,138000
University Of Maine,Northeastern,ME,41200,72100,41700,55600,99300,141000
State University of New York (SUNY) at Potsdam,Northeastern,NY,38000,70300,35100,51200,100000,179000
Niagara University,Northeastern,NY,36900,69700,44000,57000,92000,128000
State University of New York (SUNY) at Fredonia,Northeastern,NY,37800,66200,32800,44200,93300,181000
University of Southern Maine,Northeastern,ME,39400,63600,40400,47900,85700,117000
Mercy College,Northeastern,NY,43700,62600,35600,47300,99000,134000
